,name,price,Brand,Line,Unit weight,Model,description,store_name,new_or_not,sold_number,Units per package,review_rating
0,Pack 4 Lux Bar Soaps Bouquet of Jasmine Botanicals 85g,4.9,Lux,Bouquet of Jasmine Botanicals,85 g,Bouquet of Jasmine,"description
Pack 4 Lux Glycerin Soaps Bar Jasmine Botanicals Bouquet 85g * Buy Lux products.",Your Grocery Store,,,,
1,Dove Original Soap Bar 90g,2.9,Dove,Original,90 g,Original,"description
Barra Dove Original Soap 90g There's nothing like knowing that your skin is soft and well cared for and that, with the right product, you can have that feeling every day, starting with your skin cleansing routine. Dove Original Soap combines a gentle cleansing formula with our traditional combination of 1/4 moisturizing cream, which gives you smoother, well-groomed and healthier looking skin. Dove Original Soap cleaning agents help you skin to maintain its natural hydration instead of drier. This Dove soap also helps replenish nutrients that are lost during cleansing, while a regular bar soap can leave your skin rough and dry. Instead, Dove Soap leaves your skin smoother and better cared for. Try it - it could be the best thing of your morning. Buy Dove Products.",Dove,,,,
2,Pack 4 Lux Bar Soaps Bouquet of Jasmine Botanicals 85g,4.9,Lux,Bouquet of Jasmine Botanicals,85 g,Bouquet of Jasmine,"description
Pack 4 Lux Glycerin Soaps Bar Jasmine Botanicals Bouquet 85g * Buy Lux products.",Lux,,,,
3,Dove Original Soap Bar 90g,2.9,Dove,Original,90 g,Original,"description
Barra Dove Original Soap 90g There's nothing like knowing that your skin is soft and well cared for and that, with the right product, you can have that feeling every day, starting with your skin cleansing routine. Dove Original Soap combines a gentle cleansing formula with our traditional combination of 1/4 moisturizing cream, which gives you smoother, well-groomed and healthier looking skin. Dove Original Soap cleaning agents help you skin to maintain its natural hydration instead of drier. This Dove soap also helps replenish nutrients that are lost during cleansing, while a regular bar soap can leave your skin rough and dry. Instead, Dove Soap leaves your skin smoother and better cared for. Try it - it could be the best thing of your morning. Buy Dove Products.",Your Grocery Store,,,,
4,Kit 6 Soap Rexona Antibacterial Deep Cleaning 84g,6.21,Rexona,Antibacterial,84 g,Deep Cleaning,"description
Kit 6 Antibacterial Deep Soap Bar Rexona 84g Contains: 6 Antibacterial Deep Soap Bar Rexona 84g each * Buy Rexona products.",Your Grocery Store,,,,
5,Kit 6 Soap Rexona Antibacterial Deep Cleaning 84g,6.21,Rexona,Antibacterial,84 g,Deep Cleaning,"description
Kit 6 Antibacterial Deep Soap Bar Rexona 84g Contains: 6 Antibacterial Deep Soap Bar Rexona 84g each * Buy Rexona products.",Rexona,New,4.0,,
6,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,150.0,Nature's,Hospitality,10 g,Soap Floral,"description
Soap 10 gr Hotel Motel Pousada Fragrância Floral

Box with 500 units

Weight Unit 10 grams
Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb",Platinum Leader,New,707.0,500,4.8
7,Dove White Bar Soap 90 Gr 6 Units,13.9,,,,,,Free market,New,2652.0,,4.9
8,Dove Original Soap Kit with 12 Units of 90g,26.7,Dove,Original,90 g,,"description
kit with 12 original Dove soap 90g.
This gentle cleansing formula contains 1/4 moisturizing cream to give you better-looking, smoother, healthier looking skin.
ACTION / ACTIVES: Dove Original soap cleansing agents help your skin maintain its natural moisture instead of drier. This Dove soap also helps replenish nutrients that are lost during cleansing, while a regular bar soap can leave your skin rough and dry. Instead, Dove soap leaves your skin smoother and better cared for.
HOW TO USE: First, wet your hands and pass the soap between them until it forms a foam. Massage the foam over your body before rinsing it off with warm water.",Platinum Leader,New,175.0,12,
9,500 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,170.0,Naturys,Fennel,13 g,,"description
Soap 13 gr Hotel Motel Pousada Fragrância Erva Doce

Box with 500 units

Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb",Platinum Leader,New,520.0,500,4.4
