,Name,Question,Answer
0,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"I already made the purchase ... I didn't know that. CNPJ: 30.097.554 / 0042-98 ASSOCIATION OF UNION ESTE BRASILEIRA DOS ASD RUA JAIME PACHECO MACHADO, 155",We will issue it manually and send it by email. We are available 24/7
1,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"Hello, I just made the purchase of this product but I need the invoice to come in the name of the company and not my private. Can I change the data? Shipping to where?","Good Morning! The issuance is automatic, before making the purchase you have the option of entering the tax data. Just put the company data and the NF will come out on behalf of the legal entity. We are available 24/7"
2,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,Could this kit be Eva's sweet?,"The fennel is in the 13 gram model, follow the link: https://produto.mercadolivre.com.br/MLB-1146970292-500-mini-sabonete-13-gr-hotel-motel-pousada-erva-doce- _JM26 / 09/2020"
3,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"good night, what is the essence (smell)?","Good night! It has floral fragrance, we have other models of soaps also in fragrances of fennel, pitanga and Brazil nut. We are still available26 / 09/2020"
4,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,delivery and by the post office?,Good afternoon! Delivery is made by carrier. We are available 24/7/2020
5,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"Friend, in this quantity is customization possible?","Hello, we do not work with customization.21 / 09/2020"
6,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,What is the expiration date of the soaps?,"Good night, valid until September 2022.20 / 09/2020"
7,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,these soap has no fragrance,"Good afternoon! It has a very mild fragrance, but we have no odor. We will be glad to help you."
8,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,but then it will not feature purchase?,"It only ends when you click the buy button, you just need to click on add to cart, so you will have the calculation of shipping and delivery time.15 / 09/2020"
9,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"Good afternoon, shipping to 89254550 is free? I want 500 pcs. Is it the same for rectangular and round ones? Thank you and I look forward to returning","Good afternoon, you can add to the cart that the system automatically calculates. The value is based on the weight of the products, the value goes up according to the weight you choose. Att 15/09/2020"
10,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"I already made the purchase ... I didn't know that. CNPJ: 30.097.554 / 0042-98 ASSOCIATION OF UNION ESTE BRASILEIRA DOS ASD RUA JAIME PACHECO MACHADO, 155",We will issue it manually and send it by email. We are available 24/7
11,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"Hello, I just made the purchase of this product but I need the invoice to come in the name of the company and not my private. Can I change the data? Shipping to where?","Good Morning! The issuance is automatic, before making the purchase you have the option of entering the tax data. Just put the company data and the NF will come out on behalf of the legal entity. We are available 24/7"
12,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,Could this kit be Eva's sweet?,"The fennel is in the 13 gram model, follow the link: https://produto.mercadolivre.com.br/MLB-1146970292-500-mini-sabonete-13-gr-hotel-motel-pousada-erva-doce- _JM26 / 09/2020"
13,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"good night, what is the essence (smell)?","Good night! It has floral fragrance, we have other models of soaps also in fragrances of fennel, pitanga and Brazil nut. We are still available26 / 09/2020"
14,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,delivery and by the post office?,Good afternoon! Delivery is made by carrier. We are available 24/7/2020
15,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,"Friend, in this quantity is customization possible?","Hello, we do not work with customization.21 / 09/2020"
16,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,What is the expiration date of the soaps?,"Good night, valid until September 2022.20 / 09/2020"
17,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,these soap has no fragrance,"Good afternoon! It has a very mild fragrance, but we have no odor. We will be glad to help you."
18,Kit 500 Soap 10 Gr Floral Hotel Pousada Free Shipping,but then it will not feature purchase?,"It only ends when you click the buy button, you just need to click on add to cart, so you will have the calculation of shipping and delivery time.15 / 09/2020"
