,Unnamed: 0,name,date,rating,text,sentiment
17,17,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-08-06,1.0,Good idea but the smell is bad The smell is not so good,"[['good', 1.9], ['bad', -2.5], ['good', 1.9]]"
26,26,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-19,1.0,"bad The smell is very strong. I have discarded it and the package is not good when it is delivered. It makes me feel that it is a bad product, which makes me feel very bad.","[['bad', -2.5], ['strong', 2.3], ['discarded', -1.4], ['good', 1.9], ['bad', -2.5], ['bad', -2.5]]"
28,28,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-19,1.0,I don't recommend it I really don't like this rubbish because it's very strange. I think it has a strange smell. I don't recommend it.,"[['recommend', 1.5], ['like', 1.5], ['strange', -0.8], ['strange', -0.8], ['recommend', 1.5]]"
35,35,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-10,1.0,Too sticky The soap was terrible and smelled like chemicals and when you wash ur hands it either sticks to your hands and takes a while to come off or it turns into a ball of sticky substance.,"[['terrible', -2.1], ['like', 1.5]]"
36,36,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-10,1.0,Too sticky Nothing like what is pictured. The quality is POOR. Save your money.,"[['like', 1.5], ['poor', -2.1], ['save', 2.2]]"
39,39,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-09,1.0,Very disappointed. Once you wet them they stick to your hand like a wood glue. Useless stuff. Deserves zero stars,"[['disappointed', -2.1], ['hand', 2.2], ['like', 1.5], ['useless', -1.8]]"
41,41,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-09,1.0,"I don't like it This is extremely disgusting. Because it stinks, I hate this stuff. I'll never come to this store again. I feel offended.","[['like', 1.5], ['disgusting', -2.4], ['stinks', -1.0], ['hate', -2.7], ['offended', -1.0]]"
42,42,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-08,1.0,Very disappointed. This item did not work at all like it was advertised. It did not dissolve or get soapy. It rolled up like plastic. Very disappointed.,"[['disappointed', -2.1], ['like', 1.5], ['like', 1.5], ['disappointed', -2.1]]"
46,46,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-07-04,1.0,There is a peculiar smell I got it. It's a surprise to me. I can't believe it's my express because it's completely different. And the smell is so bad that I've lost it. It makes me uncomfortable.,"[['peculiar', 0.6], ['surprise', 1.1], ['bad', -2.5], ['lost', -1.3], ['uncomfortable', -1.6]]"
56,56,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-06-19,1.0,Waste of money Too expensive,"[['waste', -1.8]]"
59,59,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-06-15,1.0,Not a fan! These were terrible. The soap paper doesn't dissolve. It just gums up on your hands and won't rinse off! You have to scrape it off with your fingernails.,"[['fan', 1.3], ['terrible', -2.1]]"
60,60,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-06-11,1.0,Don’t buy it this is not a good Product,"[['good', 1.9]]"
