,Unnamed: 0,name,date,rating,text,sentiment
0,0,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-12,5.0,"Useful, especially if you are hiking or traveling When I go abroad I realize that not all bathrooms have soap dispensers and so this was a great buy. What I noticed is that once you open the container with the films or strips of soap it doesn’t close but it doesn’t necessarily affect her quality of the product","[['useful', 1.9], ['great', 3.1]]"
1,1,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-11,2.0,Not what I expected These were not at all what I expected them to be. I was hoping they smelled better than they did. I actually purchased the water soluble paper to create my own and they are great.,"[['hoping', 1.8], ['better', 1.9], ['create', 1.1], ['great', 3.1]]"
2,2,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-10,1.0,Didn’t get what I paid for. Great idea however i only received two instead of four. Felt ripped off.,"[['great', 3.1]]"
3,3,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-10,5.0,Bought twice! Liked 1st order so much ordered again! You need to get your hands wet first as much as possible but after that they work great!,"[['liked', 1.8], ['great', 3.1]]"
4,4,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-09,5.0,"Grab with dry hand Easy to carry, grab the piece before your hands are wet.","[['hand', 2.2], ['easy', 1.9]]"
5,5,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-02,5.0,"FABULOUS! Just got these delivered. I'm preparing to go back to school for work and wanted my own portable hand soap to use. These soap sheets are awesome! They smell lovely, come out of the pack easily and dissolve and foam up perfectly! Hands are squeaky clean - literally! SO happy!","[['fabulous', 2.4], ['hand', 2.2], ['awesome', 3.1], ['lovely', 2.8], ['easily', 1.4], ['perfectly', 3.2], ['clean', 1.7], ['happy', 2.7]]"
6,6,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-09-01,5.0,gets your hands clean difenitly love this. Just keep eater around. Cleans the hands really good. Just wish it had a smell to the soap.,"[['clean', 1.7], ['love', 3.2], ['good', 1.9], ['wish', 1.7]]"
7,7,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-08-27,5.0,"MUST BUY!!! I absolutely love these soaps!!! They are perfect for travel, camping or when you use a public restroom (either public restroom soap smells bad or there is none). There is a very light scent when you open the package but it doesn't stay on your hands. My hands feel moisturized and clean and doesn't have a waxy feeling after.","[['love', 3.2], ['perfect', 2.7], ['bad', -2.5], ['clean', 1.7], ['feeling', 0.5]]"
8,8,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-08-18,4.0,Handy soap sheets Great hand soap for travel,"[['great', 3.1], ['hand', 2.2]]"
9,9,"KISEER 4 Boxs (200 Sheets) Mini Portable Travel Soap Paper Sheets Disposable Hand Washing Bath Scented Paper Soap for Outdoor, Camping Hiking",2020-08-18,5.0,they are so handy Hand Soap Sheets Love them. So convenient. I give them as presents to my friends I fly with. Being a flight attendant in these changing times you never know what to expect at the hotels. Soap on the go.,"[['hand', 2.2], ['love', 3.2], ['friends', 2.1]]"
